#TH	FDR	1-NPV
0.265   0.217   0.100
0.266   0.217   0.100
0.267   0.216   0.100
0.268   0.216   0.100
0.269   0.215   0.101
0.270   0.215   0.101
0.271   0.214   0.101
0.272   0.214   0.101
0.273   0.213   0.102
0.274   0.213   0.102
0.275   0.213   0.102
0.276   0.212   0.102
0.277   0.212   0.103
0.278   0.211   0.103
0.279   0.211   0.103
0.280   0.210   0.103
0.281   0.210   0.103
0.282   0.209   0.103
0.283   0.209   0.104
0.284   0.209   0.104
0.285   0.209   0.104
0.286   0.208   0.105
0.287   0.208   0.105
0.288   0.207   0.105
0.289   0.207   0.105
0.290   0.207   0.105
0.291   0.206   0.106
0.292   0.206   0.106
0.293   0.206   0.106
0.294   0.205   0.106
0.295   0.205   0.106
0.296   0.205   0.107
0.297   0.204   0.107
0.298   0.204   0.108
0.299   0.203   0.108
0.300   0.203   0.108
0.301   0.203   0.108
0.302   0.202   0.108
0.303   0.202   0.109
0.304   0.202   0.109
0.305   0.201   0.109
0.306   0.201   0.109
0.307   0.200   0.109
0.308   0.200   0.110
0.309   0.200   0.110
0.310   0.199   0.110
0.311   0.199   0.110
0.312   0.198   0.110
0.313   0.198   0.111
0.314   0.197   0.111
0.315   0.197   0.111
0.316   0.197   0.112
0.317   0.196   0.112
0.318   0.196   0.112
0.319   0.196   0.112
0.320   0.195   0.113
0.321   0.195   0.113
0.322   0.195   0.113
0.323   0.194   0.113
0.324   0.194   0.113
0.325   0.194   0.114
0.326   0.193   0.114
0.327   0.193   0.114
0.328   0.193   0.114
0.329   0.192   0.114
0.330   0.192   0.114
0.331   0.192   0.114
0.332   0.191   0.115
0.333   0.191   0.115
0.334   0.191   0.115
0.335   0.190   0.115
0.336   0.190   0.116
0.337   0.190   0.116
0.338   0.189   0.116
0.339   0.189   0.116
0.340   0.189   0.117
0.341   0.188   0.117
0.342   0.188   0.117
0.343   0.187   0.117
0.344   0.187   0.118
0.345   0.186   0.118
0.346   0.186   0.118
0.347   0.186   0.118
0.348   0.186   0.118
0.349   0.185   0.119
0.350   0.185   0.119
0.351   0.185   0.119
0.352   0.184   0.119
0.353   0.184   0.120
0.354   0.184   0.120
0.355   0.184   0.120
0.356   0.183   0.120
0.357   0.183   0.120
0.358   0.183   0.120
0.359   0.182   0.121
0.360   0.182   0.121
0.361   0.182   0.121
0.362   0.181   0.121
0.363   0.181   0.121
0.364   0.181   0.122
0.365   0.180   0.122
0.366   0.180   0.122
0.367   0.180   0.123
0.368   0.179   0.123
0.369   0.179   0.123
0.370   0.179   0.123
0.371   0.178   0.123
0.372   0.178   0.123
0.373   0.178   0.124
0.374   0.178   0.124
0.375   0.178   0.124
0.376   0.177   0.125
0.377   0.177   0.125
0.378   0.177   0.125
0.379   0.177   0.125
0.380   0.176   0.125
0.381   0.176   0.126
0.382   0.175   0.126
0.383   0.175   0.126
0.384   0.174   0.126
0.385   0.174   0.126
0.386   0.174   0.127
0.387   0.174   0.127
0.388   0.174   0.127
0.389   0.173   0.127
0.390   0.173   0.127
0.391   0.173   0.128
0.392   0.172   0.128
0.393   0.172   0.128
0.394   0.172   0.128
