#TH	SFRD	SCNPV	IFDR	ICNPV
0.949	0.040	0.355	0.074	0.124
0.950	0.040	0.356	0.074	0.125
0.951	0.040	0.358	0.074	0.126
0.952	0.039	0.360	0.074	0.127
0.953	0.039	0.362	0.074	0.127
0.954	0.039	0.364	0.074	0.128
0.955	0.039	0.366	0.068	0.128
0.956	0.037	0.368	0.068	0.129
0.957	0.037	0.370	0.068	0.129
0.958	0.037	0.372	0.068	0.130
0.959	0.037	0.374	0.068	0.131
0.960	0.036	0.376	0.068	0.132
0.961	0.036	0.379	0.068	0.133
0.962	0.036	0.381	0.068	0.134
0.963	0.036	0.383	0.068	0.135
0.964	0.034	0.386	0.068	0.136
0.965	0.034	0.389	0.068	0.137
0.966	0.034	0.392	0.068	0.138
0.967	0.034	0.395	0.068	0.140
0.968	0.033	0.397	0.068	0.141
0.969	0.033	0.400	0.068	0.141
0.970	0.033	0.403	0.068	0.143
0.971	0.031	0.407	0.068	0.144
0.972	0.031	0.410	0.062	0.146
0.973	0.031	0.414	0.062	0.146
0.974	0.030	0.417	0.062	0.149
0.975	0.030	0.420	0.062	0.150
0.976	0.030	0.424	0.062	0.151
0.977	0.030	0.428	0.062	0.153
0.978	0.030	0.432	0.062	0.155
0.979	0.030	0.436	0.062	0.155
0.980	0.028	0.440	0.062	0.157
0.981	0.028	0.444	0.062	0.159
0.982	0.028	0.448	0.062	0.162
0.983	0.028	0.452	0.062	0.164
0.984	0.026	0.456	0.062	0.167
0.985	0.026	0.461	0.057	0.169
0.986	0.025	0.465	0.057	0.172
0.987	0.023	0.469	0.057	0.175
0.988	0.023	0.473	0.057	0.179
0.989	0.022	0.478	0.057	0.184
0.990	0.022	0.482	0.057	0.188
0.991	0.022	0.486	0.057	0.195
0.992	0.023	0.490	0.057	0.202
0.993	0.026	0.493	0.051	0.208
0.994	0.026	0.496	0.051	0.219
0.995	0.026	0.497	0.051	0.231
0.996	0.023	0.499	0.045	0.247
0.997	0.023	0.499	0.045	0.270
0.998	0.023	0.500	0.040	0.306
0.999	0.023	0.500	0.034	0.371
1.000	0.023	0.500	0.034	0.500
