#TH	SFDR	SCNPV
0.227	0.1774	0.0598
0.228	0.1770	0.0600
0.229	0.1770	0.0602
0.230	0.1762	0.0604
0.231	0.1760	0.0606
0.232	0.1758	0.0608
0.233	0.1750	0.0608
0.234	0.1750	0.0612
0.235	0.1748	0.0614
0.236	0.1740	0.0618
0.237	0.1740	0.0618
0.238	0.1736	0.0618
0.239	0.1730	0.0620
0.240	0.1728	0.0620
0.241	0.1720	0.0624
0.242	0.1720	0.0626
0.243	0.1718	0.0628
0.244	0.1712	0.0630
0.245	0.1710	0.0632
0.246	0.1710	0.0634
0.247	0.1704	0.0636
0.248	0.1700	0.0638
0.249	0.1698	0.0638
0.250	0.1698	0.0640
0.251	0.1690	0.0642
0.252	0.1688	0.0644
0.253	0.1684	0.0646
0.254	0.1680	0.0650
0.255	0.1678	0.0650
0.256	0.1674	0.0654
0.257	0.1668	0.0656
0.258	0.1668	0.0656
0.259	0.1666	0.0658
0.260	0.1660	0.0660
0.261	0.1658	0.0662
0.262	0.1658	0.0664
0.263	0.1652	0.0664
0.264	0.1648	0.0664
0.265	0.1648	0.0668
0.266	0.1640	0.0670
0.267	0.1638	0.0670
0.268	0.1638	0.0672
0.269	0.1632	0.0676
0.270	0.1628	0.0676
0.271	0.1628	0.0678
0.272	0.1624	0.0680
0.273	0.1618	0.0680
0.274	0.1618	0.0682
0.275	0.1614	0.0684
0.276	0.1612	0.0686
0.277	0.1610	0.0690
0.278	0.1604	0.0690
0.279	0.1602	0.0692
0.280	0.1602	0.0696
0.281	0.1598	0.0696
0.282	0.1594	0.0696
0.283	0.1592	0.0698
0.284	0.1590	0.0698
0.285	0.1588	0.0700
0.286	0.1584	0.0706
0.287	0.1580	0.0706
0.288	0.1578	0.0706
0.289	0.1576	0.0708
0.290	0.1572	0.0708
0.291	0.1570	0.0714
0.292	0.1568	0.0716
0.293	0.1566	0.0716
0.294	0.1560	0.0716
0.295	0.1560	0.0716
0.296	0.1558	0.0720
0.297	0.1554	0.0722
0.298	0.1550	0.0724
0.299	0.1548	0.0726
0.300	0.1548	0.0726
0.301	0.1544	0.0728
0.302	0.1538	0.0728
0.303	0.1538	0.0732
0.304	0.1534	0.0734
0.305	0.1530	0.0734
0.306	0.1528	0.0736
0.307	0.1528	0.0736
0.308	0.1522	0.0740
0.309	0.1518	0.0742
0.310	0.1518	0.0742
0.311	0.1516	0.0744
0.312	0.1510	0.0746
0.313	0.1508	0.0748
0.314	0.1508	0.0750
0.315	0.1504	0.0752
0.316	0.1500	0.0752
0.317	0.1498	0.0754
0.318	0.1496	0.0756
0.319	0.1492	0.0758
0.320	0.1490	0.0760
0.321	0.1488	0.0762
0.322	0.1488	0.0762
0.323	0.1482	0.0764
0.324	0.1480	0.0766
0.325	0.1476	0.0768
0.326	0.1476	0.0770
0.327	0.1472	0.0772
0.328	0.1470	0.0772
0.329	0.1466	0.0774
0.330	0.1466	0.0776
0.331	0.1464	0.0778
0.332	0.1458	0.0778
0.333	0.1456	0.0780
0.334	0.1456	0.0784
0.335	0.1454	0.0788
0.336	0.1450	0.0788
0.337	0.1448	0.0788
0.338	0.1446	0.0788
0.339	0.1444	0.0792
0.340	0.1442	0.0794
0.341	0.1438	0.0796
0.342	0.1436	0.0798
0.343	0.1434	0.0798
0.344	0.1430	0.0802
0.345	0.1428	0.0804
0.346	0.1424	0.0804
0.347	0.1424	0.0806
0.348	0.1422	0.0808
0.349	0.1416	0.0808
0.350	0.1414	0.0812
0.351	0.1414	0.0812
0.352	0.1412	0.0814
0.353	0.1408	0.0818
0.354	0.1404	0.0818
0.355	0.1404	0.0818
0.356	0.1402	0.0822
0.357	0.1400	0.0824
0.358	0.1394	0.0824
0.359	0.1394	0.0828
0.360	0.1392	0.0828
0.361	0.1390	0.0830
0.362	0.1384	0.0832
0.363	0.1384	0.0836
0.364	0.1382	0.0836
0.365	0.1382	0.0838
0.366	0.1376	0.0842
0.367	0.1374	0.0842
0.368	0.1372	0.0844
0.369	0.1372	0.0846
0.370	0.1368	0.0848
0.371	0.1364	0.0850
0.372	0.1362	0.0852
0.373	0.1360	0.0852
0.374	0.1360	0.0854
0.375	0.1354	0.0860
0.376	0.1354	0.0860
0.377	0.1350	0.0860
0.378	0.1350	0.0862
0.379	0.1346	0.0866
0.380	0.1344	0.0866
0.381	0.1342	0.0870
0.382	0.1340	0.0872
0.383	0.1336	0.0872
0.384	0.1334	0.0874
0.385	0.1334	0.0874
0.386	0.1330	0.0878
0.387	0.1328	0.0880
0.388	0.1324	0.0882
0.389	0.1324	0.0882
0.390	0.1322	0.0884
0.391	0.1320	0.0886
0.392	0.1314	0.0890
0.393	0.1314	0.0890
0.394	0.1314	0.0892
0.395	0.1312	0.0894
0.396	0.1304	0.0896
0.397	0.1304	0.0896
0.398	0.1304	0.0898
0.399	0.1304	0.0902
0.400	0.1296	0.0904
0.401	0.1294	0.0904
0.402	0.1294	0.0904
0.403	0.1294	0.0906
0.404	0.1286	0.0910
0.405	0.1284	0.0912
0.406	0.1284	0.0914
0.407	0.1284	0.0914
0.408	0.1280	0.0916
0.409	0.1278	0.0920
0.410	0.1276	0.0920
0.411	0.1274	0.0922
0.412	0.1272	0.0922
0.413	0.1270	0.0926
0.414	0.1268	0.0926
0.415	0.1264	0.0930
0.416	0.1264	0.0932
0.417	0.1262	0.0932
0.418	0.1258	0.0932
0.419	0.1254	0.0934
0.420	0.1254	0.0938
0.421	0.1254	0.0942
